,Metabolite,value_type,value,Field,Model
53,Gln,Cohens_d,1.1705546453755091,7T,fixed
54,Glu,Cohens_d,9.505077605969499,7T,fixed
55,Ins,Cohens_d,7.908854546380112,7T,fixed
56,Lac,Cohens_d,0.8929951877791907,7T,fixed
57,PEth,Cohens_d,6.8511769479063895,7T,fixed
58,Tau,Cohens_d,4.087057295310377,7T,fixed
59,sIns,Cohens_d,0.3242178093955909,7T,fixed
60,tNAA,Cohens_d,21.181643035066273,7T,fixed
61,tCr,Cohens_d,26.33810734328705,7T,fixed
62,tCho,Cohens_d,10.304514036010456,7T,fixed
63,Glx,Cohens_d,6.161306780331582,7T,fixed
64,Asc,Cohens_d,0.15127094912802788,3T,exact
65,Asp,Cohens_d,1.1207748165939342,3T,exact
66,GABA,Cohens_d,1.110890844425567,3T,exact
67,GSH,Cohens_d,0.08601252642378521,3T,exact
68,Glc,Cohens_d,0.37578231609794027,3T,exact
69,Gln,Cohens_d,0.10909027286643076,3T,exact
70,Glu,Cohens_d,0.6645095962183349,3T,exact
71,Ins,Cohens_d,0.25801459613579947,3T,exact
72,Lac,Cohens_d,0.14031513250855335,3T,exact
73,PEth,Cohens_d,0.5049896362806152,3T,exact
74,Tau,Cohens_d,0.1633149373485817,3T,exact
75,sIns,Cohens_d,0.03385868951391344,3T,exact
76,tNAA,Cohens_d,1.6056640658125203,3T,exact
77,tCr,Cohens_d,1.8949218098291272,3T,exact
78,tCho,Cohens_d,0.8283176764120371,3T,exact
79,Glx,Cohens_d,0.8592655352257758,3T,exact
80,Asc,Cohens_d,0.07496969790005069,7T,exact
81,Asp,Cohens_d,0.48348684685153887,7T,exact
82,GABA,Cohens_d,0.13205619533851132,7T,exact
83,GSH,Cohens_d,0.1669324875419714,7T,exact
84,Glc,Cohens_d,0.22620953014805162,7T,exact
85,Gln,Cohens_d,0.14215311228035185,7T,exact
86,Glu,Cohens_d,0.7503217004629233,7T,exact
87,Ins,Cohens_d,2.2564335514579343,7T,exact
88,Lac,Cohens_d,0.6398600010921428,7T,exact
89,PEth,Cohens_d,0.37670035227657594,7T,exact
90,Tau,Cohens_d,0.11411690730414524,7T,exact
91,sIns,Cohens_d,0.22461688812007108,7T,exact
92,tNAA,Cohens_d,1.39077588187091,7T,exact
93,tCr,Cohens_d,0.7847836974771607,7T,exact
94,tCho,Cohens_d,0.4093477684201879,7T,exact
95,Glx,Cohens_d,0.48317780821393075,7T,exact
96,Asc,Mean,0.25156223681558354,3T,correct
97,Asp,Mean,1.5745856620373584,3T,correct
98,GABA,Mean,1.5854354661738723,3T,correct
99,GSH,Mean,-0.05364567927141724,3T,correct
100,Glc,Mean,-1.2539828156487742,3T,correct
101,Gln,Mean,-0.49366555311245186,3T,correct
102,Glu,Mean,0.15932310926592086,3T,correct
103,Ins,Mean,0.017292244957108825,3T,correct
104,Lac,Mean,1.8579508073317503,3T,correct
105,PEth,Mean,-0.32733149296639474,3T,correct
106,Tau,Mean,0.3840575811668139,3T,correct
107,sIns,Mean,-0.05629605543557352,3T,correct
108,tNAA,Mean,0.08167252924390853,3T,correct
109,tCr,Mean,-0.09933619094653665,3T,correct
110,tCho,Mean,-0.07512267593444494,3T,correct
111,Glx,Mean,-0.0008025828990495626,3T,correct
112,Asc,Mean,-0.45331908898859324,7T,correct
113,Asp,Mean,0.6186251380797225,7T,correct
114,GABA,Mean,0.7509970535076292,7T,correct
115,GSH,Mean,0.0955127588219762,7T,correct
116,Glc,Mean,0.29913900629767265,7T,correct
117,Gln,Mean,-0.06882026425655469,7T,correct
118,Glu,Mean,0.07976834045419406,7T,correct
119,Ins,Mean,0.48375320663938526,7T,correct
120,Lac,Mean,1.602410021805335,7T,correct
121,PEth,Mean,0.056523839917418384,7T,correct
122,Tau,Mean,-0.47169777960334774,7T,correct
123,sIns,Mean,-0.4679458401617982,7T,correct
124,tNAA,Mean,0.06600658437314469,7T,correct
125,tCr,Mean,-0.0054410178904025965,7T,correct
126,tCho,Mean,-0.04738198996805622,7T,correct
127,Glx,Mean,0.04307447844288079,7T,correct
128,Asc,Mean,3.0327907038382906,3T,fixed
129,Asp,Mean,-2.2876192239135276,3T,fixed
130,GABA,Mean,-19.84066378200051,3T,fixed
131,GSH,Mean,1.2752468237035752,3T,fixed
132,Glc,Mean,-13.913481213544804,3T,fixed
133,Gln,Mean,-3.3049821752269426,3T,fixed
134,Glu,Mean,3.429543036148752,3T,fixed
135,Ins,Mean,1.0329411582756525,3T,fixed
136,Lac,Mean,4.745800678411959,3T,fixed
137,PEth,Mean,-11.415336549379823,3T,fixed
138,Tau,Mean,3.4486860695264028,3T,fixed
139,sIns,Mean,-0.3676602762116345,3T,fixed
140,tNAA,Mean,2.224900821950195,3T,fixed
141,tCr,Mean,2.5384105702106283,3T,fixed
142,tCho,Mean,2.534827538299955,3T,fixed
143,Glx,Mean,1.7723524331802618,3T,fixed
144,Asc,Mean,5.595776810350691,7T,fixed
145,Asp,Mean,-1.1673507630046498,7T,fixed
146,GABA,Mean,-18.94863996052184,7T,fixed
147,GSH,Mean,1.6730476784600374,7T,fixed
148,Glc,Mean,-19.104568195097368,7T,fixed
149,Gln,Mean,-1.0260574019246544,7T,fixed
150,Glu,Mean,2.510645313560367,7T,fixed
151,Ins,Mean,2.005619202492063,7T,fixed
152,Lac,Mean,2.133563115196278,7T,fixed
153,PEth,Mean,-18.730922933697407,7T,fixed
154,Tau,Mean,5.775729083648367,7T,fixed
155,sIns,Mean,0.5788629866944726,7T,fixed
156,tNAA,Mean,2.3491800505393954,7T,fixed
157,tCr,Mean,3.139556736522114,7T,fixed
158,tCho,Mean,4.236486456467902,7T,fixed
159,Glx,Mean,1.6328062441694478,7T,fixed
160,Asc,Mean,-0.8386307823361854,3T,exact
161,Asp,Mean,2.2178121034764313,3T,exact
162,GABA,Mean,6.872241914839465,3T,exact
163,GSH,Mean,-0.2671047526366219,3T,exact
164,Glc,Mean,2.5755976374074128,3T,exact
165,Gln,Mean,0.2359694883678423,3T,exact
166,Glu,Mean,-0.6463039475018254,3T,exact
167,Ins,Mean,-0.19276700762898535,3T,exact
168,Lac,Mean,1.0647394420045517,3T,exact
169,PEth,Mean,2.753461766553569,3T,exact
170,Tau,Mean,-0.6067391802615248,3T,exact
171,sIns,Mean,0.12817821394476,3T,exact
172,tNAA,Mean,-0.47775691382173513,3T,exact
173,tCr,Mean,-0.7449022359135136,3T,exact
174,tCho,Mean,-0.7178173314809171,3T,exact
175,Glx,Mean,-0.4336498898667624,3T,exact
176,Asc,Mean,-0.16869556008584785,7T,exact
177,Asp,Mean,0.5884085935054035,7T,exact
178,GABA,Mean,-0.35226314232661904,7T,exact
179,GSH,Mean,0.17418567853935663,7T,exact
180,Glc,Mean,-0.7810080495724476,7T,exact
181,Gln,Mean,-0.11717273417770362,7T,exact
182,Glu,Mean,0.21034672191516898,7T,exact
183,Ins,Mean,0.589134741469411,7T,exact
184,Lac,Mean,1.5054803409390392,7T,exact
185,PEth,Mean,-1.0722558109752278,7T,exact
186,Tau,Mean,-0.14434170665644627,7T,exact
187,sIns,Mean,-0.38611539875054973,7T,exact
188,tNAA,Mean,0.19436411408735754,7T,exact
189,tCr,Mean,0.1640941217976663,7T,exact
190,tCho,Mean,0.18770668066475008,7T,exact
191,Glx,Mean,0.1302374013504359,7T,exact
192,Asc,SD,6.104234364581898,3T,correct
193,Asp,SD,2.4019772734751026,3T,correct
194,GABA,SD,5.527185768585116,3T,correct
195,GSH,SD,2.9732579283179144,3T,correct
196,Glc,SD,6.4240639838103135,3T,correct
197,Gln,SD,1.8742309644961086,3T,correct
198,Glu,SD,0.7944760884779013,3T,correct
199,Ins,SD,0.7669599139238813,3T,correct
200,Lac,SD,7.349469818314047,3T,correct
201,PEth,SD,5.2317142319237595,3T,correct
202,Tau,SD,3.9018474236874843,3T,correct
203,sIns,SD,3.844263354438905,3T,correct
204,tNAA,SD,0.172636911319124,3T,correct
205,tCr,SD,0.2463188532294593,3T,correct
206,tCho,SD,0.7763347464084214,3T,correct
207,Glx,SD,0.46529075178522383,3T,correct
208,Asc,SD,2.1495207644309557,7T,correct
209,Asp,SD,1.2147862609445887,7T,correct
210,GABA,SD,2.616836289715484,7T,correct
211,GSH,SD,1.055463599567384,7T,correct
212,Glc,SD,3.5960448454043648,7T,correct
213,Gln,SD,0.8002652216084082,7T,correct
214,Glu,SD,0.2573362322165549,7T,correct
215,Ins,SD,0.2614152650926285,7T,correct
216,Lac,SD,2.519752629718158,7T,correct
217,PEth,SD,2.9269127217083515,7T,correct
218,Tau,SD,1.2738351834481993,7T,correct
219,sIns,SD,1.7259123022656733,7T,correct
220,tNAA,SD,0.11465788138040568,7T,correct
221,tCr,SD,0.17302451309242883,7T,correct
222,tCho,SD,0.43694846344852045,7T,correct
223,Glx,SD,0.24665264143852297,7T,correct
224,Asc,SD,5.311393819402023,3T,fixed
225,Asp,SD,2.4388128118283734,3T,fixed
226,GABA,SD,5.074942116526379,3T,fixed
227,GSH,SD,2.9305687509965517,3T,fixed
228,Glc,SD,6.029401103709895,3T,fixed
229,Gln,SD,1.8670237880284137,3T,fixed
230,Glu,SD,0.7966905022721855,3T,fixed
231,Ins,SD,0.6596211356257851,3T,fixed
232,Lac,SD,7.537013723066418,3T,fixed
233,PEth,SD,5.072807610314924,3T,fixed
234,Tau,SD,3.5952655731199434,3T,fixed
235,sIns,SD,3.8218858716806845,3T,fixed
236,tNAA,SD,0.16542628976341972,3T,fixed
237,tCr,SD,0.26101040976424744,3T,fixed
238,tCho,SD,0.8039954413432686,3T,fixed
239,Glx,SD,0.4588472133582761,3T,fixed
240,Asc,SD,2.2522495456278953,7T,fixed
241,Asp,SD,1.110579324646098,7T,fixed
242,GABA,SD,2.7259796060990205,7T,fixed
243,GSH,SD,1.101714499593404,7T,fixed
244,Glc,SD,3.6980639879513513,7T,fixed
245,Gln,SD,0.8765566015890692,7T,fixed
246,Glu,SD,0.2641372766892087,7T,fixed
247,Ins,SD,0.25359161566702937,7T,fixed
248,Lac,SD,2.389221290768971,7T,fixed
249,PEth,SD,2.733971560816464,7T,fixed
250,Tau,SD,1.4131754625205835,7T,fixed
251,sIns,SD,1.7854139097836514,7T,fixed
252,tNAA,SD,0.11090641300348235,7T,fixed
253,tCr,SD,0.11920206321591714,7T,fixed
254,tCho,SD,0.41112918490507677,7T,fixed
255,Glx,SD,0.2650097296537432,7T,fixed
256,Asc,SD,5.543898462793486,3T,exact
257,Asp,SD,1.9788204290817524,3T,exact
258,GABA,SD,6.18624408448793,3T,exact
259,GSH,SD,3.1054168938207,3T,exact
260,Glc,SD,6.853961794030068,3T,exact
261,Gln,SD,2.163066258499155,3T,exact
262,Glu,SD,0.9726028806504581,3T,exact
263,Ins,SD,0.7471166767926856,3T,exact
264,Lac,SD,7.588201093988542,3T,exact
265,PEth,SD,5.452511435350547,3T,exact
266,Tau,SD,3.7151481065476095,3T,exact
267,sIns,SD,3.785681483392562,3T,exact
268,tNAA,SD,0.29754475048301837,3T,exact
269,tCr,SD,0.3931044711447405,3T,exact
270,tCho,SD,0.8665966596176405,3T,exact
271,Glx,SD,0.5046750650284362,3T,exact
272,Asc,SD,2.2501832715232775,7T,exact
273,Asp,SD,1.2170105502085815,7T,exact
274,GABA,SD,2.667524544559472,7T,exact
275,GSH,SD,1.0434498467265791,7T,exact
276,Glc,SD,3.4525868519389373,7T,exact
277,Gln,SD,0.8242713247573336,7T,exact
278,Glu,SD,0.2803420476648778,7T,exact
279,Ins,SD,0.2610911103891171,7T,exact
280,Lac,SD,2.3528277097637225,7T,exact
281,PEth,SD,2.846442283621679,7T,exact
282,Tau,SD,1.2648582060828697,7T,exact
283,sIns,SD,1.718995405831409,7T,exact
284,tNAA,SD,0.13975228979804682,7T,exact
285,tCr,SD,0.2090947127535634,7T,exact
286,tCho,SD,0.45855063871283314,7T,exact
287,Glx,SD,0.269543425083737,7T,exact
