,field,method,value_type,Metabolite,value
109,3T,preproc lw matching,Mean,Gln,-0.16685311229227273
110,3T,preproc lw matching,Mean,Glu,0.06352817866998454
111,3T,preproc lw matching,Mean,GSH,0.09957835834048148
112,3T,preproc lw matching,Mean,Ins,-0.015058106111583723
113,3T,preproc lw matching,Mean,Lac,0.11503468026030622
114,3T,preproc lw matching,Mean,PEth,0.45949520306922237
115,3T,preproc lw matching,Mean,sIns,0.1279427586196022
116,3T,preproc lw matching,Mean,Tau,0.17109995521988233
117,3T,preproc lw matching,Mean,tCho,0.10672466456536761
118,3T,preproc lw matching,Mean,tCr,-0.03355480989704297
119,3T,preproc lw matching,Mean,tNAA,0.2609971869175602
120,3T,preproc lw matching,SD,Asc,5.4491096872895275
121,3T,preproc lw matching,SD,Asp,2.2472647562924744
122,3T,preproc lw matching,SD,GABA,6.223829383999615
123,3T,preproc lw matching,SD,Glc,6.867943762809726
124,3T,preproc lw matching,SD,Gln,1.9483751866200674
125,3T,preproc lw matching,SD,Glu,0.9102091003409599
126,3T,preproc lw matching,SD,GSH,3.174945634335733
127,3T,preproc lw matching,SD,Ins,0.5902113525869053
128,3T,preproc lw matching,SD,Lac,6.096577007605549
129,3T,preproc lw matching,SD,PEth,5.649653722251155
130,3T,preproc lw matching,SD,sIns,4.074945837001185
131,3T,preproc lw matching,SD,Tau,4.170677240079231
132,3T,preproc lw matching,SD,tCho,2.866692626839715
133,3T,preproc lw matching,SD,tCr,1.152135652308893
134,3T,preproc lw matching,SD,tNAA,2.3956686794842703
135,7T,basis lw matching,Cohens d,Asc,0.3451824118125845
136,7T,basis lw matching,Cohens d,Asp,0.330486923793915
137,7T,basis lw matching,Cohens d,GABA,0.1449011086140711
138,7T,basis lw matching,Cohens d,Glc,0.3778115459020716
139,7T,basis lw matching,Cohens d,Gln,0.10261006462139384
140,7T,basis lw matching,Cohens d,Glu,1.163668789968255
141,7T,basis lw matching,Cohens d,GSH,0.5130077019551252
142,7T,basis lw matching,Cohens d,Ins,1.212897356497959
143,7T,basis lw matching,Cohens d,Lac,0.3414387066596115
144,7T,basis lw matching,Cohens d,PEth,0.30178511110767453
145,7T,basis lw matching,Cohens d,sIns,0.13857540443636948
146,7T,basis lw matching,Cohens d,Tau,0.5824303447296527
147,7T,basis lw matching,Cohens d,tCho,1.251614609851159
148,7T,basis lw matching,Cohens d,tCr,1.9404747685582406
149,7T,basis lw matching,Cohens d,tNAA,0.42092567264723213
150,7T,basis lw matching,Mean,Asc,0.7737930682316478
151,7T,basis lw matching,Mean,Asp,0.45116657900370183
152,7T,basis lw matching,Mean,GABA,-0.4237862760622548
153,7T,basis lw matching,Mean,Glc,-1.4231236446615536
154,7T,basis lw matching,Mean,Gln,-0.09511599826543585
155,7T,basis lw matching,Mean,Glu,0.3181440620651745
156,7T,basis lw matching,Mean,GSH,0.5286872692450826
157,7T,basis lw matching,Mean,Ins,0.29979757354513076
158,7T,basis lw matching,Mean,Lac,0.6448071931308265
159,7T,basis lw matching,Mean,PEth,-0.8347039396908909
160,7T,basis lw matching,Mean,sIns,0.24567731107367907
161,7T,basis lw matching,Mean,Tau,0.7283282621130832
162,7T,basis lw matching,Mean,tCho,1.3512463592770025
163,7T,basis lw matching,Mean,tCr,0.8337681394907088
164,7T,basis lw matching,Mean,tNAA,0.32148400145372014
165,7T,basis lw matching,SD,Asc,2.2416932084354744
166,7T,basis lw matching,SD,Asp,1.3651571258082218
167,7T,basis lw matching,SD,GABA,2.9246586179748633
168,7T,basis lw matching,SD,Glc,3.7667553045888806
169,7T,basis lw matching,SD,Gln,0.9269655819474505
170,7T,basis lw matching,SD,Glu,0.27339743474073364
171,7T,basis lw matching,SD,GSH,1.0305639997805118
172,7T,basis lw matching,SD,Ins,0.2471747274730211
173,7T,basis lw matching,SD,Lac,1.8885005728821784
174,7T,basis lw matching,SD,PEth,2.7658884052536146
175,7T,basis lw matching,SD,sIns,1.7728781819033999
176,7T,basis lw matching,SD,Tau,1.2504984822711325
177,7T,basis lw matching,SD,tCho,1.0796025778555682
178,7T,basis lw matching,SD,tCr,0.42967223949538536
179,7T,basis lw matching,SD,tNAA,0.763754796498593
180,7T,default analysis,Cohens d,Asc,0.34175105262545463
181,7T,default analysis,Cohens d,Asp,0.32487590490423524
182,7T,default analysis,Cohens d,GABA,0.1475133230615466
183,7T,default analysis,Cohens d,Glc,0.3798309425586827
184,7T,default analysis,Cohens d,Gln,0.11089157522230153
185,7T,default analysis,Cohens d,Glu,1.1356212247805448
186,7T,default analysis,Cohens d,GSH,0.5055662126818832
187,7T,default analysis,Cohens d,Ins,1.1818593462762461
188,7T,default analysis,Cohens d,Lac,0.3373385073069474
189,7T,default analysis,Cohens d,PEth,0.30455890464044333
190,7T,default analysis,Cohens d,sIns,0.13424659343028358
191,7T,default analysis,Cohens d,Tau,0.5762844596140504
192,7T,default analysis,Cohens d,tCho,1.2373847454111757
193,7T,default analysis,Cohens d,tCr,1.904993052326536
194,7T,default analysis,Cohens d,tNAA,0.4008629914485317
195,7T,default analysis,Mean,Asc,0.7660282912563787
196,7T,default analysis,Mean,Asp,0.4434638881027852
197,7T,default analysis,Mean,GABA,-0.4313913903684672
198,7T,default analysis,Mean,Glc,-1.4305986204128731
199,7T,default analysis,Mean,Gln,-0.10278504364684356
200,7T,default analysis,Mean,Glu,0.3104510370794595
201,7T,default analysis,Mean,GSH,0.5209767244734437
202,7T,default analysis,Mean,Ins,0.29210645480639735
203,7T,default analysis,Mean,Lac,0.6370333133803534
204,7T,default analysis,Mean,PEth,-0.8422940152036043
205,7T,default analysis,Mean,sIns,0.2379791667484741
206,7T,default analysis,Mean,Tau,0.7205767454278539
207,7T,default analysis,Mean,tCho,1.3358131560771984
208,7T,default analysis,Mean,tCr,0.8183675540940416
209,7T,default analysis,Mean,tNAA,0.3061250054486265
210,7T,default analysis,SD,Asc,2.241480414973044
211,7T,default analysis,SD,Asp,1.3650254802168433
212,7T,default analysis,SD,GABA,2.9244232413398947
213,7T,default analysis,SD,Glc,3.7664088417226567
214,7T,default analysis,SD,Gln,0.9268967767911402
215,7T,default analysis,SD,Glu,0.2733755149208779
216,7T,default analysis,SD,GSH,1.0304816884613632
217,7T,default analysis,SD,Ins,0.24715839133206027
218,7T,default analysis,SD,Lac,1.888409711852762
219,7T,default analysis,SD,PEth,2.7656194002864605
220,7T,default analysis,SD,sIns,1.772701717545336
221,7T,default analysis,SD,Tau,1.2503837877398933
222,7T,default analysis,SD,tCho,1.0795455181026299
223,7T,default analysis,SD,tCr,0.4295908339899629
224,7T,default analysis,SD,tNAA,0.7636649228766008
225,7T,preproc lw matching,Cohens d,Asc,0.02972164442216509
226,7T,preproc lw matching,Cohens d,Asp,0.19429270294997683
227,7T,preproc lw matching,Cohens d,GABA,0.08972350836593376
228,7T,preproc lw matching,Cohens d,Glc,0.03528933791493432
229,7T,preproc lw matching,Cohens d,Gln,0.13361654698952372
230,7T,preproc lw matching,Cohens d,Glu,0.07232499646589184
231,7T,preproc lw matching,Cohens d,GSH,0.10130982882719883
232,7T,preproc lw matching,Cohens d,Ins,0.07122659244835694
233,7T,preproc lw matching,Cohens d,Lac,0.014869424491069662
234,7T,preproc lw matching,Cohens d,PEth,0.20757714617098072
235,7T,preproc lw matching,Cohens d,sIns,0.08066383064027943
236,7T,preproc lw matching,Cohens d,Tau,0.07749260894238813
237,7T,preproc lw matching,Cohens d,tCho,0.013314931109715737
238,7T,preproc lw matching,Cohens d,tCr,0.06268156462001591
239,7T,preproc lw matching,Cohens d,tNAA,0.0363010873621986
240,7T,preproc lw matching,Mean,Asc,-0.07990021670301149
241,7T,preproc lw matching,Mean,Asp,0.2852424230521247
242,7T,preproc lw matching,Mean,GABA,0.2874791243510262
243,7T,preproc lw matching,Mean,Glc,0.15694833522270374
244,7T,preproc lw matching,Mean,Gln,-0.1367571202457632
245,7T,preproc lw matching,Mean,Glu,-0.023553854670947477
246,7T,preproc lw matching,Mean,GSH,0.11063065168210187
247,7T,preproc lw matching,Mean,Ins,-0.020936231487309942
248,7T,preproc lw matching,Mean,Lac,-0.030672548217134325
249,7T,preproc lw matching,Mean,PEth,0.6621847070813701
250,7T,preproc lw matching,Mean,sIns,-0.16604024414733928
251,7T,preproc lw matching,Mean,Tau,-0.11487770825026167
252,7T,preproc lw matching,Mean,tCho,0.01699421219563514
253,7T,preproc lw matching,Mean,tCr,-0.036001479456616386
254,7T,preproc lw matching,Mean,tNAA,-0.034284705873683236
255,7T,preproc lw matching,SD,Asc,2.6882838502510795
256,7T,preproc lw matching,SD,Asp,1.4681067210515057
257,7T,preproc lw matching,SD,GABA,3.2040557662831683
258,7T,preproc lw matching,SD,Glc,4.44747180015196
259,7T,preproc lw matching,SD,Gln,1.0235043737246534
260,7T,preproc lw matching,SD,Glu,0.3256668623835381
261,7T,preproc lw matching,SD,GSH,1.0920031448360386
262,7T,preproc lw matching,SD,Ins,0.2939384121525934
263,7T,preproc lw matching,SD,Lac,2.0627932328891254
264,7T,preproc lw matching,SD,PEth,3.190065569819186
265,7T,preproc lw matching,SD,sIns,2.058422502742229
266,7T,preproc lw matching,SD,Tau,1.4824343872028813
267,7T,preproc lw matching,SD,tCho,1.276327459421452
268,7T,preproc lw matching,SD,tCr,0.5743551501125125
269,7T,preproc lw matching,SD,tNAA,0.9444539644667757
